recorder_uuid,type,system_file_name,file_name,full_path,domain,topic,scenario,transcript,duration,size_bytes,microphone_device_id,microphone_label,signal_to_noise_ratio,word_count,prompt_id,document_id,paragraph_index,sentence_index,personal_information,file,entrykey
d151406f-04be-11f0-8300-0242ac120004,unscripted,recording-1744314810.wav,TSN-d151406f-04be-11f0-8300-0242ac120004-UNS-Telecommunication-0001.wav,audio/TSN/d151406f-04be-11f0-8300-0242ac120004/unscripted/Telecommunication/TSN-d151406f-04be-11f0-8300-0242ac120004-UNS-Telecommunication-0001.wav,Telecommunication,"Print Media and Digital News","Community Radio Stations","Nna setlhogo sa ka se nkase nayang e ka nna Remember The Legends. Ebile nka rata go bitsa Raputla Sebogodi, [?] ke tla rata go mmotsa gore o simolotse jang? O kile a nna le kgatlhego, ke eng se se dirileng gore a nne le kgatlhego ya gotla go act-a? Ebile a ka thusa bašwa jang mo indasetering e? Ke eng se a ka batlang go se raya bašwa gore ha ba batla go go act-a baye kae? Gore a re neye diane a re thuse, gonne bana kgotsa bašwa ba le bantsi ba batla go act-a mme ha ba itse jang.",41.425708,3976946,75ac427823ecee12600a9354d83f67e73c379848921aa2bacda8b629c1d09806,Speakerphone,52.48,104,,,,,,,
d151406f-04be-11f0-8300-0242ac120004,unscripted,recording-1744314992.wav,TSN-d151406f-04be-11f0-8300-0242ac120004-UNS-Telecommunication-0002.wav,audio/TSN/d151406f-04be-11f0-8300-0242ac120004/unscripted/Telecommunication/TSN-d151406f-04be-11f0-8300-0242ac120004-UNS-Telecommunication-0002.wav,Telecommunication,"Print Media and Digital News","South African Digital News Platforms","Nna ga ke utlwa maaka mo inthaneteng ke dira dipatlisiso pele, pele ke ka tlisa selo mo pele ka gonne dilo tse di dingwe they are good to be true. O tshwanetse o itse mabaka pele o raya batho, ga wa tshwanela go phatlhalatsa dipuo kgotsa poleleo pelo o sena bopaki. O tshwanetse o dire dipatlisiso, mogaro o tshwanetse go netefatse gore ke nnete kgotsa ke maaka naa, ka gore dipuo tsa rona di kgona go re tsenya mo kgolegelong kgotsa di kgona go re tsenya mo mathateng.",42.889896,4117508,75ac427823ecee12600a9354d83f67e73c379848921aa2bacda8b629c1d09806,Speakerphone,52.48,88,,,,,,,
d151406f-04be-11f0-8300-0242ac120004,unscripted,recording-1744315115.wav,TSN-d151406f-04be-11f0-8300-0242ac120004-UNS-Telecommunication-0003.wav,audio/TSN/d151406f-04be-11f0-8300-0242ac120004/unscripted/Telecommunication/TSN-d151406f-04be-11f0-8300-0242ac120004-UNS-Telecommunication-0003.wav,Telecommunication,"Emerging Technologies","Current and Future Trends","Thekenoloji e gola ka gonne mo segompienong ha e tlhole ele batho ba berekang ka thekenoloji kgotsa ba dirang gore thekenoloji e nne botlhale. Go nale dilo di roboto tse ba di bitsa Artificial Intelligence ke tsone tse nayang thekenoloji botlhale kgotsa di dirang thekenolji botlhale gore thekenoloji ya rona e gole.",26.164354,2511856,75ac427823ecee12600a9354d83f67e73c379848921aa2bacda8b629c1d09806,Speakerphone,52.48,52,,,,,,,
d151406f-04be-11f0-8300-0242ac120004,unscripted,recording-1744315178.wav,TSN-d151406f-04be-11f0-8300-0242ac120004-UNS-Telecommunication-0004.wav,audio/TSN/d151406f-04be-11f0-8300-0242ac120004/unscripted/Telecommunication/TSN-d151406f-04be-11f0-8300-0242ac120004-UNS-Telecommunication-0004.wav,Telecommunication,"Mobile Communication","Cell Phones and Smart Phones","Nka mo raya kere a [cs] shebe phone e [cs] tonna ebile e tlhwatlhwa e ko godimo, e e naleng camera di le nne e tsaya di sim-khata di le pedi ebile di sim-khata tseo di dirisa M_T_N le Vodacom. Ebile phone ya teng camera ya teng e tseye dipikitšhara tse di ntle.",28.877458,2772314,75ac427823ecee12600a9354d83f67e73c379848921aa2bacda8b629c1d09806,Speakerphone,52.48,56,,,,,,,
d151406f-04be-11f0-8300-0242ac120004,unscripted,recording-1744315681.wav,TSN-d151406f-04be-11f0-8300-0242ac120004-UNS-Telecommunication-0005.wav,audio/TSN/d151406f-04be-11f0-8300-0242ac120004/unscripted/Telecommunication/TSN-d151406f-04be-11f0-8300-0242ac120004-UNS-Telecommunication-0005.wav,Telecommunication,"Mobile Communication","Communication / Messaging Apps vs Cell Phone Calls","[?] e e seatleng e e dithusa, ebile e thusa thata ka gonne o kgona go bua le batho ba ba [cs] kgole ba ba kgakala le rona re kgona go itse kgotsa go batlisisa motho yo o leng kgakala le rona ka megala e re e dirisang [cs] sejwalejwale. Ebile re kgona go reetsa [cs] seyalemoya ka tsone di phone tse tsa rona tsa [cs] sejwalejwale.",35.075417,3367318,75ac427823ecee12600a9354d83f67e73c379848921aa2bacda8b629c1d09806,Speakerphone,44.82,66,,,,,,,
d151406f-04be-11f0-8300-0242ac120004,unscripted,recording-1744315919.wav,TSN-d151406f-04be-11f0-8300-0242ac120004-UNS-Telecommunication-0006.wav,audio/TSN/d151406f-04be-11f0-8300-0242ac120004/unscripted/Telecommunication/TSN-d151406f-04be-11f0-8300-0242ac120004-UNS-Telecommunication-0006.wav,Telecommunication,"Mobile Communication","Cell Phones and Smart Phones","Mogala wa letheka e ne ele di founu tse di [?] tse di thata, tse battery ya teng ge o e [?] ene e [?] for two months. Mme di smartphone tsa [cs] sejwalejwale di battery tsa teng di [?] for letsatsi [cs] hela, ebile di senyega ka bonako. Megala ya letheka di founu tsa teng airtime ya teng ne e [?] mme ya di smartphone tsone airtime ya teng ga e [?].",39.584917,3800230,75ac427823ecee12600a9354d83f67e73c379848921aa2bacda8b629c1d09806,Speakerphone,44.82,67,,,,,,,
d151406f-04be-11f0-8300-0242ac120004,unscripted,recording-1744316120.wav,TSN-d151406f-04be-11f0-8300-0242ac120004-UNS-Telecommunication-0007.wav,audio/TSN/d151406f-04be-11f0-8300-0242ac120004/unscripted/Telecommunication/TSN-d151406f-04be-11f0-8300-0242ac120004-UNS-Telecommunication-0007.wav,Telecommunication,"Mobile Communication","Advantages and Disadvantages of Smart Phone Applications","Di bonolo ka gonne ge o di dirisa mo go tsa banka ga go [?] botlhokwa gore o ye ko bankeng o kgona go itirela mo founung. Mme gape di kotsi ka gonne madi a gago a kgona go nyelela ge o sa itlhokomele kgotsa o sa tlhokomele ka moo o e dirisang ka teng, ebile o tshwanetse go itse gore [?] ha o tsena mo mafaratlhatlheng ga wa tshwanela go phasalatsa dilo tsa gago password le di pin jalojalo le di bank account tsa gago ha wa tshwanela. Ka gonne o tla [?] kgotsa wa nyelelelwa ke madi kgotsa o tla tsena mo mathateng.",40.262542,3865282,75ac427823ecee12600a9354d83f67e73c379848921aa2bacda8b629c1d09806,Speakerphone,44.82,102,,,,,,,
d151406f-04be-11f0-8300-0242ac120004,unscripted,recording-1744316353.wav,TSN-d151406f-04be-11f0-8300-0242ac120004-UNS-Telecommunication-0008.wav,audio/TSN/d151406f-04be-11f0-8300-0242ac120004/unscripted/Telecommunication/TSN-d151406f-04be-11f0-8300-0242ac120004-UNS-Telecommunication-0008.wav,Telecommunication,"Entertaiment and Media","Movie and Entertainment Streaming Platforms","Pele ba ka shuta kgotsa ba ka dira terama, tshwanetse ba e neye nako [?] ba tle mo Aforika Borwa ba tshele nakwana, le ba je dilo tsa rona gore ba tle ba itse gore re tshela jang gore ba seke ba latlha ngwao ya rona. Ba itse gotlhe gore dilo tse re jang eng, re apara eng, re nwa eng. Ba itse le puo ya rona gore ge ba ya go dira terama, ba itse ba tlhalose terama e jaaka e kare ba tswa ba [?] bonetswe teng mo Aforika Borwa eseng fela gore ba tle go dula [?] sebakanyana fela ebe ba tswa be ba tsamaya. Tshwanetse ba itse batho ba Aforika Borwa ba ba tlhaloganye ba nagane [cs] hela jaaka bone ba je se ba sejang pele ba ka dira terama eo.",55.039146,5283836,75ac427823ecee12600a9354d83f67e73c379848921aa2bacda8b629c1d09806,Speakerphone,44.82,132,,,,,,,
d151406f-04be-11f0-8300-0242ac120004,unscripted,recording-1744316477.wav,"TSN-d151406f-04be-11f0-8300-0242ac120004-UNS-Sports and Hobbies-0001.wav","audio/TSN/d151406f-04be-11f0-8300-0242ac120004/unscripted/Sports and Hobbies/TSN-d151406f-04be-11f0-8300-0242ac120004-UNS-Sports and Hobbies-0001.wav","Sports and Hobbies","International Events in South Africa","National and International Events","Motho mosweu le motho montsho ba ile ba kopana ba ipenta difatlhego ba celebrate-a, go [cs] bane ba itumeletse gore Aforika kgotsa Bafana Bafana e ya go win-a kgotsa e win-ne.",19.310875,1853922,75ac427823ecee12600a9354d83f67e73c379848921aa2bacda8b629c1d09806,Speakerphone,44.82,31,,,,,,,
d151406f-04be-11f0-8300-0242ac120004,unscripted,recording-1744316544.wav,"TSN-d151406f-04be-11f0-8300-0242ac120004-UNS-Sports and Hobbies-0002.wav","audio/TSN/d151406f-04be-11f0-8300-0242ac120004/unscripted/Sports and Hobbies/TSN-d151406f-04be-11f0-8300-0242ac120004-UNS-Sports and Hobbies-0002.wav","Sports and Hobbies",Sports,"Health Benefits of Playing a Sport","Mo motseng o ke dulang mo go ona metshameko e eleng teng ke netball, ke kgwele ya dinao le rugby mme fela nna ke rata kgwele ya dinao ka gonne ke tshameka kgwele ya dinao.",17.253333,1656398,75ac427823ecee12600a9354d83f67e73c379848921aa2bacda8b629c1d09806,Speakerphone,44.82,35,,,,,,,
